"Région,Département,""COM ARRT/VILLE"",COMMUNE,QUARTIERS/VILLAGES,QUARTIER/VILLAGE/HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION"
"SAINT-LOUIS,DAGANA,""AR. MBANE"",MBANE,,,,,20226,20528,40754"
"SAINT-LOUIS,DAGANA,""AR. MBANE"",BOKHOL,,,,,11395,11256,22651"
"SAINT-LOUIS,DAGANA,""AR. MBANE"",""COM. GAE"",,,,,6400,5896,12296"
"SAINT-LOUIS,DAGANA,""AR. MBANE"",""COM. NDOMBO SANDJIRY"",,,,,3343,2837,6180"
"SAINT-LOUIS,DAGANA,""AR. NDIAYE"",DIAMA,,,,,24684,23814,48498"
"SAINT-LOUIS,DAGANA,""AR. NDIAYE"",NGNITH,,,,,17018,15691,32709"
"SAINT-LOUIS,DAGANA,""AR. NDIAYE"",RONKH,,,,,14616,13120,27736"
"SAINT-LOUIS,DAGANA,""AR. NDIAYE"",""COM. ROSS-BETHIO"",,,,,8726,7499,16225"
"SAINT-LOUIS,DAGANA,""AR. NDIAYE"",""COM. ROSSO-SENEGAL"",,,,,11774,10525,22299"
"SAINT-LOUIS,PODOR,""COM. PODOR"",""COM. PODOR"",,,,,6366,6146,12512"
"SAINT-LOUIS,PODOR,""COM. NDIOUM"",""COM. NDIOUM"",,,,,10764,9506,20270"
"SAINT-LOUIS,PODOR,""AR. CAS-CAS"",""MEDINA NDIATHBE"",,,,,20963,20528,41491"
"SAINT-LOUIS,PODOR,""AR. CAS-CAS"",DOUNGA-LAO,,,,,21265,22346,43611"
"SAINT-LOUIS,PODOR,""AR. CAS-CAS"",MERY,,,,,11383,11348,22731"
"SAINT-LOUIS,PODOR,""AR. CAS-CAS"",""COM. AERE LAO"",,,,,7297,7087,14384"
"SAINT-LOUIS,PODOR,""AR. CAS-CAS"",""COM. GOLLERE"",,,,,3755,3369,7124"
"SAINT-LOUIS,PODOR,""AR. CAS-CAS"",""COM. MBOUMBA"",,,,,2922,2535,5457"
"SAINT-LOUIS,PODOR,""AR. CAS-CAS"",""COM. WALALDE"",,,,,2203,2184,4387"
"SAINT-LOUIS,PODOR,""AR. SALDE"",""BOKE DIALLOUBE"",,,,,19998,19508,39506"
"SAINT-LOUIS,PODOR,""AR. SALDE"",""MBOLO BIRANE"",,,,,15654,15448,31102"
"SAINT-LOUIS,PODOR,""AR. SALDE"",""COM. GALOYA TOUCOULEUR"",,,,,3448,3053,6501"
"SAINT-LOUIS,PODOR,""AR. SALDE"",""COM. PETE"",,,,,2521,2314,4835"
"SAINT-LOUIS,PODOR,""AR. THILLE BOUBACAR"",FANAYE,,,,,24123,24051,48174"
"SAINT-LOUIS,PODOR,""AR. THILLE BOUBACAR"",""NDIAYENE PENDAO"",,,,,16799,17213,34012"
"SAINT-LOUIS,PODOR,""AR. THILLE BOUBACAR"",""COM. NDIANDANE"",,,,,3553,3216,6769"
"SAINT-LOUIS,PODOR,""AR. GAMADJI SARE"",DODEL,,,,,22055,24261,46316"
"SAINT-LOUIS,PODOR,""AR. GAMADJI SARE"",""GAMADJI SARE"",,,,,14593,15378,29971"
"SAINT-LOUIS,PODOR,""AR. GAMADJI SARE"",""GUEDE VILLAGE"",,,,,26224,26454,52678"
"SAINT-LOUIS,PODOR,""AR. GAMADJI SARE"",""COM. BODE LAO"",,,,,1842,1918,3760"
"SAINT-LOUIS,PODOR,""AR. GAMADJI SARE"",""COM. DEMETTE"",,,,,1675,1739,3414"
"SAINT-LOUIS,PODOR,""AR. GAMADJI SARE"",""COM. GUEDE CHANTIER"",,,,,3468,3534,7002"
"SAINT-LOUIS,""SAINT LOUIS"",""COM. SAINT LOUIS"",""COM. SAINT LOUIS"",,,,,130257,123914,254171"
"SAINT-LOUIS,""SAINT LOUIS"",""AR. RAO"",GANDON,,,,,36654,34426,71080"
"SAINT-LOUIS,""SAINT LOUIS"",""AR. RAO"",""FASS NGOM"",,,,,11865,11289,23154"
"SAINT-LOUIS,""SAINT LOUIS"",""AR. RAO"",""N’DIEBENE GANDIOLE"",,,,,13093,14845,27938"
"SAINT-LOUIS,""SAINT LOUIS"",""AR. RAO"",""COM. M’PAL"",,,,,5282,5743,11025"
"TAMBACOUNDA,BAKEL,""COM. BAKEL"",""COM. BAKEL"",,,,,10350,8589,18939"
"TAMBACOUNDA,BAKEL,""AR. KENIEBA"",GATHIARY,,,,,2056,1917,3973"
"TAMBACOUNDA,BAKEL,""AR. KENIEBA"",""MADINA FOULBE"",,,,,2118,1685,3803"
"TAMBACOUNDA,BAKEL,""AR. KENIEBA"",SADATOU,,,,,9583,7676,17259"
"TAMBACOUNDA,BAKEL,""AR. KENIEBA"",TOUMBOURA,,,,,2457,2571,5028"
"TAMBACOUNDA,BAKEL,""AR. BELE"",BELE,,,,,13256,12605,25861"
"TAMBACOUNDA,BAKEL,""AR. BELE"",SINTHIOU-FISSA,,,,,6390,6510,12900"
"TAMBACOUNDA,BAKEL,""AR. BELE"",""COM. KIDIRA"",,,,,7103,6448,13551"
"TAMBACOUNDA,BAKEL,""AR. MOUDERY"",BALLOU,,,,,11851,12107,23958"
"TAMBACOUNDA,BAKEL,""AR. MOUDERY"",GABOU,,,,,14422,14190,28612"
"TAMBACOUNDA,BAKEL,""AR. MOUDERY"",MOUDERY,,,,,11359,12547,23906"
"TAMBACOUNDA,BAKEL,""AR. MOUDERY"",""COM. DIAWARA"",,,,,5881,6266,12147"
"TAMBACOUNDA,TAMBACOUNDA,""COM. TAMBACOUNDA"",""COM. TAMBACOUNDA"",,,,,75735,73336,149071"
"TAMBACOUNDA,TAMBACOUNDA,""AR. KOUSSANAR"",KOUSSANAR,,,,,20735,20369,41104"
"TAMBACOUNDA,TAMBACOUNDA,""AR. KOUSSANAR"",""SINTHIOU MALEM"",,,,,15318,14214,29532"
"TAMBACOUNDA,TAMBACOUNDA,""AR. MAKACOULIBANTANG"",MAKACOULIBATANG,,,,,27285,25699,52984"
"TAMBACOUNDA,TAMBACOUNDA,""AR. MAKACOULIBANTANG"",""N’DOGA BABACAR"",,,,,14437,14131,28568"
"TAMBACOUNDA,TAMBACOUNDA,""AR. MAKACOULIBANTANG"",""NIANI TOUCOULEUR"",,,,,9381,8688,18069"
"TAMBACOUNDA,TAMBACOUNDA,""AR. MISSIRAH"",DIALACOTO,,,,,13071,11448,24519"
"TAMBACOUNDA,TAMBACOUNDA,""AR. MISSIRAH"",MISSIRAH,,,,,28931,28649,57580"
"TAMBACOUNDA,TAMBACOUNDA,""AR. MISSIRAH"",""NETTE BOULOU"",,,,,13065,12927,25992"
"TAMBACOUNDA,GOUDIRY,""COM. GOUDIRY"",""COM. GOUDIRY"",,,,,5371,5169,10540"
"TAMBACOUNDA,GOUDIRY,""AR. BALA"",BALA,,,,,5114,4685,9799"
"TAMBACOUNDA,GOUDIRY,""AR. BALA"",GOUMBAYEL,,,,,4561,4564,9125"
"TAMBACOUNDA,GOUDIRY,""AR. BALA"",KOAR,,,,,6045,6120,12165"
"TAMBACOUNDA,GOUDIRY,""AR. BOYNGUEL BAMBA"",DOUGUE,,,,,4519,4756,9275"
"TAMBACOUNDA,GOUDIRY,""AR. BOYNGUEL BAMBA"",""BOYNGUEL BAMBA"",,,,,8345,8271,16616"
"TAMBACOUNDA,GOUDIRY,""AR. BOYNGUEL BAMBA"",KOUSSAN,,,,,5308,5714,11022"
"TAMBACOUNDA,GOUDIRY,""AR. BOYNGUEL BAMBA"",""SINTHIOU MAMADOU BOUBOU"",,,,,10788,10878,21666"
"TAMBACOUNDA,GOUDIRY,""AR. DIANKE MAKHA"",""BANI   ISRAEL"",,,,,4217,4464,8681"
"TAMBACOUNDA,GOUDIRY,""AR. DIANKE MAKHA"",BOUTOUCOUFARA,,,,,4240,4214,8454"
"TAMBACOUNDA,GOUDIRY,""AR. DIANKE MAKHA"",""DIANKE MAKHA"",,,,,5493,5456,10949"
"TAMBACOUNDA,GOUDIRY,""AR. DIANKE MAKHA"",KOMOTI,,,,,6100,6079,12179"
"TAMBACOUNDA,GOUDIRY,""AR. KOULOR"",KOULOR,,,,,7650,7377,15027"
"TAMBACOUNDA,GOUDIRY,""AR. KOULOR"",""SINTHIOU BOCAR ALI"",,,,,4792,4154,8946"
"TAMBACOUNDA,GOUDIRY,""AR. KOULOR"",""COM. KOTHIARY"",,,,,3111,3046,6157"
"TAMBACOUNDA,KOUPENTOUM,""COM. KOUMPENTOUM"",""COM. KOUMPENTOUM"",,,,,7859,7864,15723"
"TAMBACOUNDA,KOUPENTOUM,""AR. BAMBA THIALENE"",""BAMBA THIALENE"",,,,,11073,10470,21543"
"TAMBACOUNDA,KOUPENTOUM,""AR. BAMBA THIALENE"",KAHENE,,,,,11612,10954,22566"
"TAMBACOUNDA,KOUPENTOUM,""AR. BAMBA THIALENE"",MERETO,,,,,9267,8279,17546"
"TAMBACOUNDA,KOUPENTOUM,""AR. BAMBA THIALENE"",N’DAME,,,,,7351,6944,14295"
"TAMBACOUNDA,KOUPENTOUM,""AR. KOUTHIABA WOLOF"",""KOUTHIA GAYDI"",,,,,9230,8241,17471"
"TAMBACOUNDA,KOUPENTOUM,""AR. KOUTHIABA WOLOF"",""KOUTHIABA WOLOF"",,,,,15952,13833,29785"
"TAMBACOUNDA,KOUPENTOUM,""AR. KOUTHIABA WOLOF"",""PASS KOTO"",,,,,9850,9262,19112"
"TAMBACOUNDA,KOUPENTOUM,""AR. KOUTHIABA WOLOF"",PAYAR,,,,,19158,17543,36701"
"TAMBACOUNDA,KOUPENTOUM,""AR. KOUTHIABA WOLOF"",""COM. MALEM NIANI"",,,,,2293,2162,4455"
"KAOLACK,KAOLACK,""COM. KAOLACK"",""COM. KAOLACK"",,,,,149606,149298,298904"
"KAOLACK,KAOLACK,""COM. KAHONE"",""COM. KAHONE"",,,,,13919,12457,26376"
"KAOLACK,KAOLACK,""AR. NDIEDIENG"",""KEUR SOCE"",,,,,18790,18777,37567"
"KAOLACK,KAOLACK,""AR. NDIEDIENG"",NDIAFFATE,,,,,25467,24026,49493"
"KAOLACK,KAOLACK,""AR. NDIEDIENG"",NDIEDIENG,,,,,20617,20404,41021"
"KAOLACK,KAOLACK,""AR. KOUMBAL"",LATMINGUE,,,,,20738,20418,41156"
"KAOLACK,KAOLACK,""AR. KOUMBAL"",THIARE,,,,,17890,17886,35776"
"KAOLACK,KAOLACK,""AR. KOUMBAL"",""KEUR BAKA"",,,,,14619,14690,29309"
"KAOLACK,KAOLACK,""AR. KOUMBAL"",""COM. NDOFFANE"",,,,,8926,10048,18974"
"KAOLACK,KAOLACK,""AR. NGOTHIE"",DYA,,,,,10276,9590,19866"
"KAOLACK,KAOLACK,""AR. NGOTHIE"",NDIEBEL,,,,,8480,8156,16636"
"KAOLACK,KAOLACK,""AR. NGOTHIE"",THIOMBY,,,,,9714,9514,19228"
"KAOLACK,KAOLACK,""AR. NGOTHIE"",""COM. GANDIAYE"",,,,,8957,9282,18239"
"KAOLACK,KAOLACK,""AR. NGOTHIE"",""COM. SIBASSOR"",,,,,5568,5940,11508"
"KAOLACK,NIORO,""COM. NIORO"",""COM. NIORO"",,,,,14176,14315,28491"
"KAOLACK,NIORO,""AR. MEDINA-SABAKH"",KAYEMOR,,,,,17398,16808,34206"
"KAOLACK,NIORO,""AR. MEDINA-SABAKH"",MEDINA-SABAKH,,,,,33158,32938,66096"
